node_id,count,A,r,cL,word
31,0,90,7297127,9378902718268562023382446152857,1.1.2.1.1.1.2.2.2.1.3.1.1.2.1.1.1.2.1.1.2.1.1.1.2.1.1.1.1.2.2.1.1.1.2.1.1.2.1.1.1.1.1.2.1.4.2.1.1.1.1.2.1.1.1.1.2.2.1.2.2.3.1.1
32,0,90,6297895,21859127886365693640957048396761,1.1.2.1.3.2.2.1.1.1.2.1.3.1.2.1.1.1.2.1.2.1.1.1.2.1.1.3.1.1.1.1.1.1.1.3.1.1.1.1.1.2.3.1.1.1.1.2.1.1.1.1.1.1.1.2.1.2.2.1.2.2.2.1
33,0,90,10250007,27041818084392950729546277428713,1.1.5.1.1.1.1.1.2.1.1.1.2.2.2.1.3.1.1.2.1.1.1.2.1.1.2.1.1.1.2.1.1.1.1.2.2.1.1.1.2.1.1.2.1.1.1.1.1.2.1.4.2.1.1.1.1.2.1.1.1.1.2.2
34,0,90,15665243,7509952322602856911435143563429,1.2.1.1.2.1.1.1.1.3.1.1.1.1.1.3.1.2.2.2.1.1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.1.1.1.4.2.1.2.2.3.1.3.1.1.1.2.1.2.1.1.1.2.1.1.1.1.1.2.3
35,0,90,11933163,25438540978406909238726559361813,1.2.2.1.1.1.1.1.1.2.1.2.1.5.2.2.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1.1.1.1.4.1.1.1
36,0,90,18857331,84832006788285142815194112088973,1.3.2.3.2.1.2.1.1.1.1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1.1.1.1
37,0,90,15375011,38846504186462812542127941160541,1.5.1.1.1.1.1.2.1.1.1.2.2.2.1.3.1.1.2.1.1.1.2.1.1.2.1.1.1.2.1.1.1.1.2.2.1.1.1.2.1.1.2.1.1.1.1.1.2.1.4.2.1.1.1.1.2.1.1.1.1.2.2.1
38,0,90,19022249,7299046048715533570713251608919,2.1.1.1.1.1.3.1.1.1.1.1.2.1.1.2.2.1.1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.2.1.1.1.2.5.1.2.1.1.4.1.1.1.1.1.1.1.2.1.2.1.1.1.1.1.3.2.2.1.3
39,0,90,19197993,9502334820461664441496799988439,2.1.1.1.1.2.2.1.1.1.2.1.1.3.2.2.1.1.1.1.1.2.1.1.1.2.1.2.1.1.1.2.1.2.3.1.1.1.1.1.1.2.1.1.2.2.1.1.1.3.2.1.1.1.2.2.1.2.2.1.1.1.1.2
40,0,90,11581665,8980712485738002682717970573855,2.2.1.1.1.1.1.1.1.1.1.1.2.1.1.1.2.1.1.1.2.1.1.1.1.2.4.2.1.1.1.2.1.1.2.1.1.2.1.1.2.2.1.1.1.3.3.1.1.1.1.2.1.1.1.3.3.3.1.1.1.1.1.1
